Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.39,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.42,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.02,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.13,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,684,Fat supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.01,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2012,2012,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,14,Barbados,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,0,Fc,Calculated data
