"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"273","Aruba","Fish meat, whether or not minced nei, fresh or chilled","Imports","Tonnes","","2014","0",NA
"274","Aruba","Fish meat, whether or not minced, frozen, nei","Exports","Tonnes","","2014","0",NA
"275","Aruba","Fish meat, whether or not minced, frozen, nei","Imports","Tonnes","","2014","25",NA
"276","Aruba","Fish minced nei, prepared or preserved","Exports","Tonnes","","2014","0",NA
"277","Aruba","Fish minced nei, prepared or preserved","Imports","Tonnes","","2014","209",NA
"278","Aruba","Fish nei, prepared or preserved, not minced","Imports","Tonnes","","2014","3",NA
"279","Aruba","Fish nei, salted or in brine","Exports","Tonnes","","2014","...",NA
"280","Aruba","Fish nei, salted or in brine","Imports","Tonnes","","2014","16",NA
"281","Aruba","Fish nei, smoked","Imports","Tonnes","","2014","5",NA
"282","Aruba","Fish roes, prepared, nei","Imports","Tonnes","","2014","-",NA
"283","Aruba","Fish, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"284","Aruba","Fish, fresh or chilled, nei","Imports","Tonnes","","2014","19",NA
"285","Aruba","Fish, fresh, chilled or frozen","Imports","Tonnes","","2014","-",NA
"286","Aruba","Fish, frozen, nei","Exports","Tonnes","","2014","-",NA
"287","Aruba","Fish, frozen, nei","Imports","Tonnes","","2014","64",NA
"288","Aruba","Fishmeal fit for human consumption, nei","Imports","Tonnes","","2014","1",NA
"289","Aruba","Fishmeals, nei","Imports","Tonnes","","2014","0",NA
"290","Aruba","Flatfish nei, fillets, fresh or chilled","Imports","Tonnes","","2014","...",NA
"291","Aruba","Flatfish nei, frozen","Exports","Tonnes","","2014","0",NA
