Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Reexports,"Shrimps and prawns, frozen, nei",0,-,0,-,0,-,0,-,1,0,0,-,0,-
Aruba,Export,"American/European lobsters (Homarus spp.), nei, frozen",0,.,0,.,0,.,0,.,0,.,0,.,28,.
Aruba,Export,"Carps, eels and snakeheads, fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,0,1,0
Aruba,Export,"Carps, eels and snakeheads, fillets, frozen",0,.,0,.,0,.,0,.,0,.,0,.,1,0
Aruba,Export,"Cuttlefish and squid, other than live, fresh or chilled",0,.,0,.,0,.,0,.,3,0,0,-,0,-
Aruba,Export,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,-,1,0,4,.,0,-
Aruba,Export,"Fish fillets, fresh or chilled, nei",0,.,0,.,0,.,0,0,1,0,0,-,0,-
Aruba,Export,"Fish fillets, frozen, nei",10,.,0,0,0,-,46,.,0,-,0,-,0,-
Aruba,Export,"Fish live, nei",0,.,0,.,0,.,1,0,0,-,0,0,0,0
Aruba,Export,"Fish meat, whether or not minced, frozen, nei",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Export,"Fish minced nei, prepared or preserved",0,.,0,.,3,0,0,.,0,0,0,.,0,0
Aruba,Export,"Fish nei, salted or in brine",0,.,0,.,0,.,0,.,0,.,1,0,0,-
Aruba,Export,"Fish, fresh or chilled, nei",1,0,0,-,0,-,0,-,0,-,0,-,0,-
Aruba,Export,"Fish, frozen, nei",0,.,0,.,0,.,1,0,0,-,0,-,0,-
Aruba,Export,"Flatfish nei, frozen",0,.,0,.,0,.,0,.,3,0,0,-,0,-
Aruba,Export,"Livers, roes, milt, dried, salted or in brine, nei",0,.,0,.,0,.,0,.,11,0,20,.,75,F
Aruba,Export,"Molluscs nei, live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,6,0
Aruba,Export,"Mussels nei, other than live, fresh or chilled",0,0,0,-,0,-,0,-,1,0,0,-,0,-
Aruba,Export,Ornamental saltwater fish,0,.,0,.,0,.,0,.,0,.,0,.,225,.
Aruba,Export,"Other  edible fish offal, dried, salted or in brine",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Export,"Pacific salmons, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,2,0
Aruba,Export,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",0,.,0,.,0,.,0,.,0,0,0,-,33,.
Aruba,Export,"Shark fins, dried, whether or not salted, etc.",0,.,0,.,0,.,15,0,38,F,55,F,0,.
Aruba,Export,"Sharks nei, frozen",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Export,"Shrimps and prawns, frozen, nei",1,0,1,0,0,-,0,-,0,-,0,-,0,-
Aruba,Export,"Shrimps and prawns, not frozen, nei",3,0,0,-,0,-,0,-,0,-,0,-,0,-
Aruba,Export,"Shrimps and prawns, other than coldwater, not frozen",0,.,0,.,0,.,0,.,6,0,0,-,0,-
Aruba,Export,"Tunas prepared or preserved, not minced, nei",2,.,0,-,0,-,0,-,0,0,0,0,0,0
Aruba,Export,"Tunas, fresh or chilled, nei",0,.,0,.,0,.,0,.,2,0,6,.,0,-
Aruba,Import,"Abalones, shucked or not, other than live,fresh or chilled",0,.,0,.,0,.,0,.,1,0,0,0,0,-
Aruba,Import,"Alaska pollock, frozen",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Import,"Albacore (=Longfin tuna), fresh or chilled",142,.,95,.,85,.,72,.,127,.,244,.,141,.
Aruba,Import,"Albacore (=Longfin tuna), frozen, nei",232,.,130,.,195,.,198,.,249,.,270,.,146,.
Aruba,Import,"American/European lobsters (Homarus spp.), nei, frozen",537,.,688,.,888,.,963,.,1338,.,1275,.,1249,.
Aruba,Import,"American/European lobsters (Homarus spp.), not frozen",214,.,245,.,282,.,350,.,453,.,445,.,487,.
Aruba,Import,"Anchovies, prepared or preserved, not minced",32,.,34,.,36,.,42,.,23,.,27,.,30,.
Aruba,Import,"Anchovies, salted or in brine",0,0,0,0,0,0,1,0,0,0,0,0,0,-
Aruba,Import,"Aquatic invertebrates, other than prepared or preserved",0,.,0,.,0,.,0,.,6,0,1,0,0,0
Aruba,Import,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",0,-,0,-,0,-,0,-,0,-,14,.,0,-
Aruba,Import,"Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Import,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,24,.
Aruba,Import,"Atlantic and Danube salmons, fresh or chilled",0,.,0,.,0,.,0,.,11,.,4,.,71,.
Aruba,Import,"Atlantic salmon and Danube salmon, frozen",0,.,0,.,1,0,0,.,8,.,0,-,34,.
Aruba,Import,"Carps, eels and snakeheads, fillets, fresh or chilled",0,.,0,.,0,.,0,.,2148,.,2395,.,2356,.
Aruba,Import,"Carps, eels and snakeheads, fillets, frozen",0,.,0,.,0,.,0,.,291,.,173,.,174,.
Aruba,Import,"Catfish fillets, fresh or chilled",0,.,0,.,0,.,0,.,5,.,7,.,1,0
Aruba,Import,"Catfish fillets, frozen",0,.,0,.,0,.,0,.,0,.,0,.,26,.
Aruba,Import,"Catfish, frozen",0,.,0,.,0,.,0,.,2,.,30,.,0,-
Aruba,Import,Caviar,0,.,0,.,0,.,0,.,13,.,11,.,13,.
Aruba,Import,Caviar and caviar substitutes,33,.,40,.,31,.,42,.,5,0,0,-,0,-
Aruba,Import,Caviar substitutes,0,.,0,.,0,.,0,.,4,0,8,.,9,.
Aruba,Import,"Clams, cockles, arkshells, etc., prep. or pres., nei",0,.,0,.,0,.,0,.,1,0,0,0,0,-
Aruba,Import,"Clams, cockles, arkshells, live, fresh or chilled",0,.,0,.,0,.,0,.,1,0,0,0,14,.
Aruba,Import,"Clams, cockles, arkshells, other than live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,1,0,0,0
Aruba,Import,"Cod nei, fillets, frozen",0,.,0,.,0,.,0,.,2,0,3,0,6,.
Aruba,Import,"Cods nei, dried,  whether or not salted",97,.,73,.,37,.,19,.,16,.,29,.,20,.
Aruba,Import,"Cods nei, frozen",33,.,1,0,0,.,2,0,15,.,65,.,0,-
Aruba,Import,"Cods nei, salted or in brine",29,.,45,.,92,.,72,.,85,.,61,.,81,.
