Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,"Fish fillets, fresh or chilled, nei",30,.,64,.,72,.,61,.,8,.,23,.,27,.
Aruba,Import,"Fish fillets, frozen, nei",543,.,446,.,574,.,439,.,76,.,3,.,3,.
Aruba,Import,"Fish live, nei",1,.,1,.,0,0,1,.,20,.,41,.,42,.
Aruba,Import,"Fish liver oils, nei",0,.,1,.,3,.,4,.,2,.,0,-,0,0
Aruba,Import,"Fish meat, whether or not minced, frozen, nei",31,.,11,.,17,.,38,.,25,.,77,.,57,.
Aruba,Import,"Fish minced nei, prepared or preserved",182,.,113,.,128,.,259,.,209,.,248,.,259,.
Aruba,Import,"Fish nei, prepared or preserved, not minced",5,.,5,.,3,.,5,.,3,.,10,.,7,.
Aruba,Import,"Fish nei, salted or in brine",10,.,8,.,16,.,18,.,16,.,22,.,26,.
Aruba,Import,"Fish nei, smoked",4,.,3,.,58,.,21,.,5,.,11,.,7,.
Aruba,Import,"Fish, fresh or chilled, nei",100,.,129,.,113,.,139,.,19,.,0,0,0,0
Aruba,Import,"Fish, frozen, nei",252,.,154,.,187,.,180,.,64,.,41,.,0,0
Aruba,Import,"Fishmeal fit for human consumption, nei",13,.,8,.,8,.,4,.,1,.,5,.,3,.
Aruba,Import,"Fishmeals, nei",0,-,2,.,0,0,1,.,0,0,0,-,0,0
Aruba,Import,"Flatfish nei, fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,0,1,.
Aruba,Import,"Flatfish nei, frozen",0,0,0,0,0,0,0,-,4,.,1,.,0,0
Aruba,Import,"Flatfish, fresh or chilled, nei",2,.,0,-,0,0,6,.,1,.,0,0,0,-
Aruba,Import,"Gadiformes fillets, frozen, nei",0,.,0,.,0,.,0,.,37,.,19,.,23,.
Aruba,Import,"Gadiformes nei, frozen",0,.,0,.,0,.,0,.,5,.,12,.,5,.
