Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jamaica,"Bigeye tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-
Jamaica,"Miscellaneous pelagic fish fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-
Jamaica,"Miscellaneous pelagic fish fillets, frozen, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,0 0,-,-,-
Jamaica,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,13,...,1,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-
Jamaica,"Tuna loins and fillets, frozen",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-
Jamaica,"Tunas nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,0 0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,1,1,-,-,-,-,-,-,-
Jamaica,"Tunas nei, frozen",Imports,Tonnes,54,43,56,797,29,19,...,18,...,9,2,...,8,19,...,64,2,0 0,...,...,4,...,...,3,3,0 0,5,1,0 0,1,1,4,-,4,4,1,3,0 0,0 0,4,4
Jamaica,"Tunas nei, frozen",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1
Jamaica,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,13,...,...,1,...,0 0,0 0,1,0 0,0 0,18,2,0 0,0 0
Jamaica,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,69,48,35,278,126,156,187,211,184,288,259,293,233,407,420,471,346,170,471,567,501,347,391,422,311
Jamaica,"Tunas prepared or preserved, not minced, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,...,...,...,0 0,...,...,1,2,11
Jamaica,"Tunas, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,1,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,-,0 0,-,-
Jamaica,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,30,...,2,11,1,...,...,...,...,3,14,...,0 0,0 0,...,...,1,1,0 0,...,...,...,-,0 0,-,0 0,0 0,0 0,0 0,-,-,1,0 0,0 0,2,-,-,-
Jamaica,"Tunas, fresh or chilled, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,-,-,0 0,1
Jamaica,"Yellowfin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,...,...,0 0,0 0,-,-,-
Jamaica,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,0 0,1,10,10,35,9,26,25,18,26,-,1,0 0
Jamaica,"Yellowfin tuna, fresh or chilled",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,-,-,-,-,-,-,-,-
Jamaica,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,7,10,13,37,22,16,10,69,-,-,0 0,-,-,-,43,42,29
Jamaica,"Yellowfin tuna, frozen, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0
Martinique,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,88,122,-,74,144,98,29,24,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,34,69,-,-,15,8,-,16,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Albacore (=Longfin tuna), gilled, gutted, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,2,-,-,26,8,-,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Albacore (=Longfin tuna), heads-off, etc., frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Bonito (Sarda spp.), not minced, prepared or preserved, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,1,12,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Euthynnus other than skipjack prep. or pres. not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,5,2,65,0 0,...,2,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,17,4,-,-,-,-,-,40,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,-,-,6,22,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tuna loins, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,1,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,5,12,155,30,58,25,4,113,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas prepared or preserved, not minced, in airtight containers",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas prepared or preserved, not minced, in oil",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,67,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,97,113,160,143,192,138,301,259,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas, bonitos, billfishes, nei, minced, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,16,13,-,15,6,56,15,5,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,-,-,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas, gilled, gutted, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,-,-,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Tunas, heads-off, etc., frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,2,28,-,82,109,32,76,171,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Martinique,"Yellowfin tuna, gilled, gutted, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,74,54,...,37,111,260,205,4,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Montserrat,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,0 0,-,-,-,-,-,-,-
Montserrat,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,0 0,0 0
Montserrat,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,5 F,...,...,8,10,6,6,5,8,7,7,9,10,10,11,7,6
Montserrat,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Montserrat,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Montserrat,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Netherlands Antilles,"Albacore (=Longfin tuna), fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,1 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,2,3,1,30 F,2 F,-,-,-,-,-,0
Netherlands Antilles,"Albacore (=Longfin tuna), frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,136 F,472 F,90 F,12 F,17 F,189 F,420 F,-,-,-,...,7 F,6 F,-,-,-,-,-,0
Netherlands Antilles,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18 F,...,...,...,0 0,1 F,1,3,0 0,0 0,-,0 0,-,-,-,-,-,0
Netherlands Antilles,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,55 F,-,-,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Bigeye tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13 F,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Bigeye tuna, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,155 F,123 F,576 F,200 F,118 F,150 F,435 F,1494 F,1551 F,-,-,-,-,-,0
Netherlands Antilles,"Euthynnus excl. skipjack or stripe-bellied bonitos, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,...,7 F,-,-,-,-,-,0
Netherlands Antilles,"Euthynnus excl. skipjack or stripe-bellied bonitos, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10 F,-,-,-,-,-,-,0
Netherlands Antilles,"Miscellaneous pelagic fish, nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,0
Netherlands Antilles,"Skipjack tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,-,-,-,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,2 F,-,-,-,-,-,-,0
Netherlands Antilles,"Skipjack tuna, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12 F,5 F,884 F,1318 F,1235 F,3333 F,2630 F,2439 F,6702 F,1000 F,2000 F,1000 F,4994 F,9276 F,8029 F,-,-,-,-,-,0
Netherlands Antilles,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,4 F,-,-,-,-,-,-,0
Netherlands Antilles,"Southern bluefin tuna (Thunnus maccoyii), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,0 0,-,-,-,-,-,0
Netherlands Antilles,"Southern bluefin tuna (Thunnus maccoyii), frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,...,0 0,-,-,-,-,-,0
Netherlands Antilles,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,0 0,...,0 0,1 F,-,-,-,...,15 F,30 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,997 F,2533 F,1751 F,1894 F,1016 F,1739 F,233 F,41 F,9 F,-,25 F,303 F,105 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11 F,...,...,6 F,15 F,0 0,4 F,6 F,0 0,-,1,0 0,8 F,13 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas prepared or preserved, not minced, in airtight containers",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,0 0,26 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,-,-,-,2,6 F,3 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6 F,52 F,...,25 F,34 F,79 F,69 F,69 F,192 F,236,541,370,368,291 F,166 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas, bonitos, billfishes, meat, whether or not minced, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,2 F,2 F,-,-,-,-,-,0
Netherlands Antilles,"Tunas, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76 F,97 F,1 F,...,47 F,...,2,6,1,-,-,-,-,-,-,-,-,0
Netherlands Antilles,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2 F,1 F,...,0 0,...,...,...,...,4 F,20,0 0,0 0,0 0,28 F,13 F,-,-,-,-,-,0
Netherlands Antilles,"Yellowfin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12 F,0 0,-,-,-,-,0 0,-,-,-,-,-,-,-,0
Netherlands Antilles,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,0 0,0 0,0 0,2,8 F,13 F,-,-,-,-,-,0
Netherlands Antilles,"Yellowfin tuna, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,114 F,207 F,1254 F,1684 F,3921 F,2456 F,1657 F,1940 F,793 F,875 F,964 F,830 F,4596 F,4430 F,3000 F,-,-,-,-,-,0
Netherlands Antilles,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25 F,-,-,-,-,1 F,-,-,-,-,-,-,0
Netherlands Antilles,"Yellowfin tuna, heads-off, etc., frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,48 F,18 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Saint Kitts and Nevis,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,...,1,2,0 0,...,0 0,...,4 F,6 F,23 F,4 F
Saint Kitts and Nevis,"Albacore (=Longfin tuna), frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29,30 F,11,6,4,7,10,2,2,13,2,30,1,-,-,-,-,-
Saint Kitts and Nevis,"Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Saint Kitts and Nevis,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 F,0 F,-,-,-
Saint Kitts and Nevis,"Bigeye tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Saint Kitts and Nevis,"Miscellaneous pelagic fish fillets, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Miscellaneous pelagic fish fillets, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Skipjack prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,...,...,...,...,...,...,...,...,...,...,7 F,-
Saint Kitts and Nevis,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,-,-,-,-,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Skipjack tuna, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13,-,-,-,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Southern bluefin tuna (Thunnus maccoyii), frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,-,-,-,-
Saint Kitts and Nevis,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,1 F,-,-
Saint Kitts and Nevis,"Tunas nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,5,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,7,...,...,...,0 0,...,...,3,1,...,...,...,...,1,0 0,...,0 F,1 F,1 F,...,3 F
Saint Kitts and Nevis,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 F,1 F,-,-
Saint Kitts and Nevis,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42,26,52,...,60,73,34,73,53,67,40,66,74,57,97,54,61,39 F,23 F,36 F,17 F,38 F
Saint Kitts and Nevis,"Tunas, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,0 0,...,...,...,...,...,...,0 0,...,...,...,1 F,-,9 F,-
Saint Kitts and Nevis,"Yellowfin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,0 0,0 0,...,0 0,...,...,...,5 F,-,-,-
Saint Kitts and Nevis,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,...,1,2,2,2,2,2,3,1,1,1,...,...,0 F,...,0 F
Saint Lucia,"Albacore (=Longfin tuna), fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,...,-,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,2 F,...,0 0,0 0,0 0
Saint Lucia,"Albacore (=Longfin tuna), frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,...,...,...,...,...,...,...,...,5 F,-,-,-,-
Saint Lucia,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,...,0 0,-,-,-,1,2,3,-,-,-,-,-,2,-,9
Saint Lucia,"Albacore (=Longfin tuna), frozen, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-
