country,Direct _GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Dominican Republic,US$ in bn (Nominal prices),0.803023,0.895284,1.06449,1.10897,1.19777,1.37125,1.38039,1.43079,1.58552,1.62028,1.93912,2.17367,2.28024,2.36164,2.37958,2.28718,2.52009,2.71844,2.93601,3.24972,3.56955,3.88601,4.1373,4.38138,4.59398,4.85294,5.11642,5.39017,5.69768,6.04051,6.40176,6.74723,7.11951,7.51448,7.91349
Dominican Republic,US$ billion (real prices),1.08389,1.17071,1.39123,1.43539,1.61347,1.76557,1.7442,1.80673,2.50113,2.51327,2.11531,2.47385,2.44572,2.38944,2.42335,2.26037,2.38432,2.5272,2.77049,3.1312,3.5344,3.90073,4.13407,4.38138,4.51569,4.70029,4.85884,5.00456,5.17206,5.36094,5.56425,5.74902,5.94704,6.15396,6.35431
Dominica,Local currency in bn (Nominal prices),0.08,0.08,0.100738,0.101594,0.109556,0.10215,0.1,0.101413,0.1,0.112955,0.111703,0.129774,0.138847,0.142697,0.142219,0.172208,0.195944,0.155763,0.166146,0.272178,0.253685,0.248499,0.229937,0.139931,0.177885,0.19529,0.21154,0.228054,0.243616,0.258246,0.273337,0.290747,0.306802,0.322138,0.337185
Dominica,Local currency in bn (Real prices),0.116974,0.122955,0.147201,0.144645,0.152132,0.140935,0.131033,0.136581,0.135155,0.145155,0.144761,0.163762,0.172262,0.174458,0.161619,0.200045,0.224578,0.182209,0.187024,0.306695,0.272635,0.252241,0.232582,0.139931,0.174351,0.18743,0.199045,0.210376,0.220325,0.228977,0.237605,0.247784,0.25634,0.263876,0.270786
Dominica,Percentage growth,19.8947,5.1132,19.7192,-1.73638,5.17603,-7.36024,-7.02595,4.23447,-1.0442,7.39854,-0.271149,13.1258,5.1904,1.27489,-7.35912,23.7751,12.2638,-18.8659,2.6424,63.9867,-11.1055,-7.48023,-7.79363,-39.8357,24.5975,7.50169,6.19693,5.69254,4.72933,3.92664,3.76822,4.28391,3.45304,2.93981,2.61858
Dominica,Percentage of GDP,10.8314,10.9989,12.8474,12.2375,12.789,11.7727,10.9086,11.607,10.6682,11.1632,11.169,12.0829,11.9954,11.2675,10.5574,12.9156,14.4738,11.8705,12.2586,19.2502,17.559,15.8279,15.2758,10.8193,12.5457,12.6314,13.0641,13.4973,13.8314,14.065,14.2809,14.572,14.7507,14.852,14.9031
Dominica,US$ in bn (Nominal prices),0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.100807,0.09,0.09,0.09,0.05,0.07,0.07,0.08,0.08,0.09,0.1,0.101236,0.107684,0.11363,0.11931,0.124883
Dominica,US$ billion (real prices),0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.07,0.07,0.113591,0.100976,0.09,0.09,0.05,0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.100291
Grenada,Local currency in bn (Nominal prices),0.18864,0.190194,0.191129,0.202317,0.21714,0.225744,0.205197,0.231787,0.254184,0.221371,0.18503,0.240687,0.326119,0.317265,0.284033,0.281176,0.270945,0.26002,0.262579,0.457866,0.482663,0.503415,0.57247,0.630292,0.650897,0.695367,0.737635,0.783409,0.834274,0.890172,0.950856,1.0165,1.08658,1.15996,1.23899
Grenada,Local currency in bn (Real prices),0.319345,0.313593,0.30961,0.322135,0.341901,0.345557,0.30751,0.34606,0.379803,0.324188,0.264443,0.328686,0.435257,0.392633,0.351383,0.346343,0.333001,0.307115,0.301654,0.522027,0.534466,0.533279,0.584492,0.630292,0.639388,0.670336,0.697139,0.725884,0.757856,0.79278,0.830221,0.870134,0.911889,0.954386,0.99942
Grenada,Percentage growth,-1.68673,-1.80123,-1.27014,4.04533,6.13618,1.06911,-11.0103,12.5362,9.75053,-14.6429,-18.4293,24.2939,32.4231,-9.79287,-10.506,-1.43415,-3.85242,-7.77359,-1.77812,73.0552,2.38272,-0.222054,9.60342,7.8359,1.44305,4.8403,3.9985,4.1232,4.40459,4.60825,4.72275,4.80756,4.79861,4.66042,4.71861
Grenada,Percentage of GDP,20.4185,19.1987,18.0495,16.8046,16.6848,16.0773,14.6026,15.8877,15.9288,13.685,9.85511,12.7584,15.9203,14.2262,13.6394,13.5067,12.8876,12.0397,11.5416,18.6045,17.9301,17.5626,18.8153,19.2873,18.9869,19.3695,19.624,19.9219,20.3,20.7528,21.2656,21.8217,22.3976,22.9787,23.6152
Grenada,US$ in bn (Nominal prices),0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.120785,0.117506,0.105197,0.104139,0.10035,0.1,0.1,0.16958,0.178764,0.18645,0.212026,0.233442,0.241073,0.257543,0.273198,0.290152,0.30899,0.329693,0.352169,0.376481,0.402437,0.429616,0.458885
Grenada,US$ billion (real prices),0.118276,0.116145,0.11467,0.119309,0.12663,0.127984,0.113893,0.12817,0.140668,0.12007,0.1,0.121736,0.161206,0.14542,0.130142,0.128275,0.123334,0.113746,0.111724,0.193343,0.19795,0.197511,0.216478,0.233442,0.23681,0.248273,0.2582,0.268846,0.280687,0.293622,0.307489,0.322272,0.337736,0.353476,0.370156
Guadeloupe,Local currency in bn (Nominal prices),0.179131,0.197792,0.180273,0.217242,0.196614,0.236707,0.230071,0.210884,0.173859,0.153553,0.147598,0.145979,0.152698,0.1511,0.130967,0.134947,0.153344,0.156412,0.161733,0.165544,0.170899,0.172739,0.178836,0.183207,0.192969,0.200425,0.207287,0.214367,0.223189,0.233239,0.242578,0.253003,0.26263,0.272014,0.280575
Guadeloupe,Local currency in bn (Real prices),0.210943,0.229846,0.207226,0.245918,0.221773,0.266819,0.253972,0.225425,0.179526,0.15486,0.14648,0.140858,0.143968,0.139562,0.118234,0.13647,0.15599,0.157958,0.16431,0.168115,0.170787,0.172623,0.179007,0.183207,0.192038,0.195935,0.198807,0.201902,0.206535,0.21196,0.216399,0.221505,0.225618,0.229248,0.231934
Guadeloupe,Percentage growth,6.4292,8.96143,-9.84162,18.6718,-9.81837,20.3118,-4.81507,-11.2402,-20.3609,-13.7395,-5.41116,-3.83822,2.20755,-3.06033,-15.2819,15.4235,14.3037,1.26133,4.02132,2.31624,1.58924,1.07496,3.69839,2.34583,4.82072,2.02895,1.46568,1.5572,2.29441,2.62673,2.09423,2.3595,1.85699,1.609,1.17155
Guadeloupe,Percentage of GDP,4.16877,4.3222,3.75485,4.31122,3.69039,4.23198,3.87327,3.4005,2.57917,2.20496,1.99774,1.88155,1.87436,1.79723,1.59934,1.75644,1.9492,1.96201,2.02673,2.05517,2.04891,2.0628,2.1305,2.15889,2.24835,2.2871,2.30564,2.33477,2.38144,2.43717,2.48126,2.54209,2.58258,2.62703,2.661
