country,Total_GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Cayman Islands,US$ in bn (Real prices),1.00531,0.929578,1.166,1.33273,1.31692,1.28924,1.25275,1.33115,1.16654,1.03755,0.701105,0.810306,0.800788,0.812034,0.708506,0.745235,0.8048,0.942567,0.984628,0.964849,1.05636,1.08143,1.13946,1.22607,1.27472,1.32757,1.38218,1.43429,1.49293,1.55977,1.63319,1.70612,1.77212,1.83655,1.89612
Cuba,Local currency in bn (Nominal prices),2.18567,2.54506,2.86543,3.28566,3.64762,3.65535,3.82645,4.03646,4.40213,4.70711,5.69549,5.99502,5.93419,6.59187,6.24059,6.10215,6.64027,7.01858,7.21162,7.13332,8.76625,9.02431,9.91566,10.556,11.1832,12.0071,12.8625,13.7772,14.6818,15.6392,16.5882,17.6595,18.7347,19.8527,20.9931
Cuba,Local currency in bn (Real prices),3.73745,4.47148,5.10316,5.77627,6.17863,6.0858,6.34191,6.39988,6.77817,7.20399,8.68365,8.28196,7.91372,8.82129,8.29854,8.01807,8.36352,8.58971,8.59745,8.21944,9.76512,9.68195,10.2131,10.556,10.8574,11.3179,11.8054,12.3126,12.776,13.2514,13.686,14.1868,14.6549,15.1212,15.5695
Cuba,Percentage growth,15.2817,19.6398,14.1269,13.1899,6.96584,-1.50254,4.20837,0.914124,5.91092,6.28219,20.5395,-4.62588,-4.44625,11.4683,-5.92599,-3.37981,4.30849,2.70443,0.09,-4.39677,18.8051,-0.851685,5.48632,3.35674,2.85608,4.24063,4.30766,4.2959,3.76376,3.72113,3.27972,3.6591,3.29955,3.18209,2.96439
Cuba,Percentage of GDP,9.16986,10.1733,11.297,12.7664,12.8596,11.959,12.0776,12.0167,12.2618,12.3212,13.356,11.3665,10.1259,10.8408,10.0525,9.48599,9.62498,9.59596,9.34778,8.84413,10.0608,10.0618,10.4263,10.5631,10.6444,10.805,10.918,11.0009,11.0444,11.1216,11.1911,11.3326,11.452,11.5778,11.6978
Cuba,US$ in bn (Nominal prices),2.18567,2.54506,2.86543,3.28566,3.64762,3.65535,3.82645,4.03646,4.40213,4.70711,5.69549,5.99502,5.93419,6.59187,6.24059,6.10215,6.64027,7.01858,7.21162,7.13332,8.76625,9.02431,9.91566,10.556,11.1832,12.0071,12.8625,13.7772,14.6818,15.6392,16.5882,17.6595,18.7347,19.8527,20.9931
Cuba,US$ in bn (Real prices),3.73745,4.47148,5.10316,5.77627,6.17863,6.0858,6.34191,6.39988,6.77817,7.20399,8.68365,8.28196,7.91372,8.82129,8.29854,8.01807,8.36352,8.58971,8.59745,8.21944,9.76512,9.68195,10.2131,10.556,10.8574,11.3179,11.8054,12.3126,12.776,13.2514,13.686,14.1868,14.6549,15.1212,15.5695
Dominican Republic,Local currency in bn (Nominal prices),32.6712,36.4379,47.4797,52.4047,59.2935,68.9952,73.5681,82.1308,142.515,206.881,186.644,226.393,236.245,263.97,276.995,266.508,304.825,346.1,394.715,452.192,516.466,569.446,627.607,690.227,741.991,803.953,865.935,929.678,1000.32,1078.69,1164.98,1252.77,1347.94,1449.98,1557.99
Dominican Republic,Local currency in bn (Real prices),169.496,182.764,219.165,228.206,249.522,271.572,275.498,291.608,378.649,378.58,332.585,382.748,377.863,382.617,387.919,353.839,374.568,404.781,440.839,494.902,561.576,613.826,652.615,690.227,713.453,743.301,769.813,794.693,822.191,852.501,885.293,915.385,947.044,979.555,1012.04
Dominican Republic,Percentage growth,7.16579,7.82822,19.9168,4.12508,9.34084,8.83679,1.44576,5.84753,29.8486,-0.02,-12.1494,15.0828,-1.27633,1.25817,1.38564,-8.78526,5.85841,8.06603,8.90799,12.2635,13.4722,9.30418,6.3192,5.76331,3.36498,4.18358,3.56686,3.23196,3.46019,3.68648,3.84651,3.39915,3.45851,3.43286,3.31615
